CP031 – COFFEE_POD_SMALL, ONE_DOZEN, mocha
CP033 – COFFEE_POD_SMALL, THREE_DOZEN, mocha
CP041 – COFFEE_POD_SMALL, ONE_DOZEN, hazelnut
CP043 – COFFEE_POD_SMALL, THREE_DOZEN, hazelnut
CP101 – COFFEE_POD_LARGE, ONE_DOZEN, vanilla
CP103 – COFFEE_POD_LARGE, THREE_DOZEN, vanilla
CP111 – COFFEE_POD_LARGE, ONE_DOZEN, caramel 
CP113 – COFFEE_POD_LARGE, THREE_DOZEN, caramel
CP121 – COFFEE_POD_LARGE, ONE_DOZEN, psl
CP123 – COFFEE_POD_LARGE, THREE_DOZEN, psl
CP131 – COFFEE_POD_LARGE, ONE_DOZEN, mocha
CP133 – COFFEE_POD_LARGE, THREE_DOZEN, mocha
CP141 – COFFEE_POD_LARGE, ONE_DOZEN, hazelnut
CP143 – COFFEE_POD_LARGE, THREE_DOZEN, hazelnut 
EP003 – ESPRESSO_POD, THREE_DOZEN, vanilla
EP005 – ESPRESSO_POD, FIVE_DOZEN, vanilla
EP007 – ESPRESSO_POD, SEVEN_DOZEN, vanilla
EP013 – ESPRESSO_POD, THREE_DOZEN, caramel
EP015 – ESPRESSO_POD, FIVE_DOZEN, caramel
EP017 – ESPRESSO_POD, SEVEN_DOZEN, caramel
CP001 – COFFEE_POD_SMALL, ONE_DOZEN, vanilla
CP003 – COFFEE_POD_SMALL, THREE_DOZEN, vanilla
CP011 – COFFEE_POD_SMALL, ONE_DOZEN, caramel
CP013 – COFFEE_POD_SMALL, THREE_DOZEN, caramel
CP021 – COFFEE_POD_SMALL, ONE_DOZEN, psl
CP023 – COFFEE_POD_SMALL, THREE_DOZEN, psl
