CP031 – small coffee pod, 1 dozen, mocha
CP033 – small coffee pod, 3 dozen, mocha
CP041 – small coffee pod, 1 dozen, hazelnut
CP043 – small coffee pod, 3 dozen, hazelnut
CP101 – large coffee pod, 1 dozen, vanilla
CP103 – large coffee pod, 3 dozen, vanilla
CP111 – large coffee pod, 1 dozen, caramel 
CP113 – large coffee pod, 3 dozen, caramel
CP121 – large coffee pod, 1 dozen, psl
CP123 – large coffee pod, 3 dozen, psl
CP131 – large coffee pod, 1 dozen, mocha
CP133 – large coffee pod, 3 dozen, mocha
CP141 – large coffee pod, 1 dozen, hazelnut
CP143 – large coffee pod, 3 dozen, hazelnut 
EP003 – espresso pod, 3 dozen, vanilla
EP005 – espresso pod, 5 dozen, vanilla
EP007 – espresso pod, 7 dozen, vanilla
EP013 – espresso pod, 3 dozen, caramel
EP015 – espresso pod, 5 dozen, caramel
EP017 – espresso pod, 7 dozen, caramel
CP001 – small coffee pod, 1 dozen, vanilla
CP003 – small coffee pod, 3 dozen, vanilla
CP011 – small coffee pod, 1 dozen, caramel
CP013 – small coffee pod, 3 dozen, caramel
CP021 – small coffee pod, 1 dozen, psl
CP023 – small coffee pod, 3 dozen, psl
